Unnamed: 0,Title,Lyrics
91,W.T.P.,"Yeah! Oh! Get Up! I said get up! Let's go! Better watch out, now Here we come (come) And we ain't stoppin' until We see the mornin' sun (sun) So give us room to do our thing Cuz we ain't come to hurt no one (one) So everybody come on get up on the floor Right now and grab someone (one) Now first of all I'm the boss I just wanna get that across Man even my Dentist hates when I floss Pull up to the club in a Pinto likes it's a Porsche Garbage bag on one of the windows Spray-painted doors with the flames on 'em Michigan plates and my name's on 'em Baby, Shady's here come on get him If you dames want 'em But he ain't stupid so quit tryin' to run them games on him He's immune to Cupid, why you tryin' to put your claims on him? Cuz you won't do to me what you did to the last man Now climb in back try not to kick over the gas can There's a half a gallon in it, that could be our last chance We have of just gettin' home, now could I get that lap dance? She's got a tattoo of me right up off her ass, man In the streets of Warren, Michigan we call 'em tramp stamps That means she belongs to me, time to put the damn clamps Down and show this hussy who's the man Now, get up, dance! Now you can do this on your own But everyone knows that no one likes to be alone So get on the floor and grab somebody! Ain't nothin' but a White Trash Party! So let's have us a little bash And if anyone asks If there ain't no one but us trash You dunno, you better akse somebody Cuz we're havin' a White Trash Party! Pull a fifth of Bacardi from outta my underwear And walk around the party without a care Like a body without a head Lookin' like a zombie from Night of the Livin' Dead And tomorrow I'll prolly still be too high to get outta bed Til I feel like I been hit wit the sharp part'a the hammer Mixin' Hennessey and Fanta with Pepto and Mylanta I shoot to kill like I'm hollerin' ""Die Santa!"" Miss the tree and hit Rudolph and two innocent bystanders So quit tryin' ta play the wall like you pawlin' Get on the floor when the beat drops and stop stallin' They call me the Stephon Marbury of rap, darlin' Cuz as soon as they throw on some R-Kelly I start ballin' Makin' it rain for them ladies in the mini's But I'm not throwin' ones, fives, tens, or even twenties I'm throwin' quarters, nickels, dimes, pennies up at skinnies Man I do this for them bunnies up at Denny's From the north, east and west, but when It comes to them trailers in them South Parks Muffle it, cuz homie that hood's tighter then Kenny's So ladies if your belly button's not an innie then I'm outie Now hop in my minivan, let's get rowdy C'mon Now you can do this on your own But everyone knows that no one likes to be alone So get on the floor and grab somebody! Ain't nothin' but a White Trash Party! So let's have us a little bash And if anyone asks If there ain't no one but us trash You dunno, you better akse somebody Cuz we're havin' a White Trash Party! Now whether you're black, white or purple If you're misunderstood But you don't give a fuck You weren't doin' shit that you should Long as you know you're up to evil And you're no damn good Get on the floor, man, and rep your 'hood Now honey, don't let them pricks trip We should make a quick dip And go do some donuts in the hospital parkin' lot Cuz girl I got a sick wip Kick the back window outta my grill and Put two milk crates in the trunk Rip out the stick shift and Make a five seater I'll be damned if I feed a chick It ain't like me to split a piece 'a dry pita I'll be the S-L to the I-M to the S-H-A-D-Y And I don't need a tank top to be a wife beater I'll rip a tree out the ground And flip it upside down 'Fore I turn over a new leaf, clown I'll tell ya now I'm so raw I still need to un-thaw You feel me, yall? I shut the club down like Drake in the mall But baby, a body like that's against the law You the baddest little chain with the blades I ever saw Goats, small containers, empty straw wrappers and all You got more junk in your trunk than I do in my car Now get up! Now you can do this on your own But everyone knows that no one likes to be alone So get on the floor and grab somebody! Ain't nothin' but a White Trash Party! So let's have us a little bash And if anyone asks If there ain't no one but us trash You dunno, you better akse somebody Cuz we're havin' a White Trash Party!"
92,Demons,"(DA got that dope) Yeah, ayy Yeah, ayy How my demons look (how your demons) Now that my pocket's full? How my demons look (ayy, yeah) Now that you bitches shook? (bitch) Yeah, how my demons look Now that my pocket's full? How my demons look (bitch, ayy) Yeah, now that you bitches shook? I am on to bigger things I just bought a limousine (a limousine) You live like me in your dreams (yes, you do) I just quit the nicotine (I did) If you throwin' dick at me (do it, nigga) That shit should be big at least (do it, nigga) Nigga, I'ma bring the heat I'ma bring the cold (the cold) You should bring your skis (brr) I'm a fuckin' queen (queen) I am expeditiously (see it, bitch) Are you off a key? (Off a key?) I would never let you in my VIP We are enemies, we are foes Who are you, and what are those? You are gross Percocet got you playing with your nose Yeah, ayy How my demons look (how your demons) Now that my pocket's full? How my demons look (ayy, yeah) Now that you bitches shook? (bitch) Yeah, how my demons look Now that my pocket's full? How my demons look (bitch, ayy) Yeah, now that you bitches shook? I'm a puppet, I'm a sheep, I'm a cash cow I'm the fastest-growing bitch on all your apps now You are tired of me 'cause I'm on your ass now You are mad at me 'cause I am all they slap now I can nap now Lots of people that were sleeping say I rap now Lots of people's hopes and dreams are finally trashed now Lots of people say they met me in the past now I done took the spotlight and made 'em black out I done took the whole dick and blew my back out I just swallowed all his kids and spit the class out I take the trash out I'm finna cash out, uh Bitch, do not pass out Yeah, ayy How my demons look (how your demons) Now that my pocket's full? How my demons look (ayy, yeah) Now that you bitches shook? (bitch) Yeah, how my demons look (ayy, yeah) Now that my pocket's full? How my demons look (bitch, ayy) Yeah, now that you bitches shook?"
93,Don't Call Me,"Don’t call me (Check this out yo’ll) Don’t call me Don’t call me (I don’t want you back, don’t call me) Don’t call me Don’t call me (I keep saying, next time은 없어 In your life) Don’t call me Don’t call me (Yeeaow) Don’t call 깊어진 밤 집요하게 벨이 울려 It’s your calling 고집스럽고 지독하지 그게 바로 너 Still call 너는 쉽게 포기 못해 그 성질 버리지 못해 온종일 내 이름만 서치해 내 흔적들을 찾아 핥아 대 내 아침을 망치곤 해 그 패턴은 뻔해 관심 꺼줄래 I know where you came from 한때는 나의 Shawty 사라져 줄래 저리 Don’t think about calling 넌 못 버티겠지 집착뿐이겠지 나처럼 잘한 사람 없을 거니까 너도 참 피곤했지 전부 꾸며대니 머릿속 꽤나 어지러웠을거야 Don’t call me (미쳤어 넌) Don’t call me Don’t call me (You don’t know you waste my time) Don’t call me Don’t call me (느껴봐 넌 최악이야) Don’t call me Don’t call me (Wait I hate your call) Don’t call 끝났어 너의 Love Don’t want it now ooh 사랑하면 보내줘 Don’t want it now ooh 계속 말하잖아 Next time은 없어 In your life 네 사랑 난 이제 아냐 지워 날 잊어버려 제발 난 널 몰라 So 내게 전화하지 마 Sick of all your trash 진짜 늦었다니까 널 믿지 않아 You know why 날 속였다는 걸 알아 비극은 왜 사랑의 몫인데 슬픈 에픽 속 그 끝을 보고 있네 넌 못 버티겠지 집착뿐이겠지 나처럼 잘한 사람 없을 거니 Ya Don’t call me (미쳤어 넌) Don’t call me Don’t call me (You don’t know you waste my time) Don’t call me Don’t call me (느껴봐 넌 최악이야) Don’t call me Don’t call me (Wait I hate your call) Don’t call 끝났어 너의 Love Don’t want it now ooh 사랑하면 보내줘 Don’t want it now ooh 계속 말하잖아 Next time은 없어 In your lifе 네 사랑 난 이제 아냐 지워 날 잊어버려 제발 난 널 몰라 So 내게 전화하지 마 아직 허튼 꿈속에서 포기 못 했니 I’ll never pick up 지워버렸어 I’m gonna save my lovе For the next call (Sorry the number you have called has been disconnected) Woo Don’t call me (끝났어 Love) Don’t call me Don’t call me (I said I don’t want it now) Don’t call me Don’t call me (사랑했다면 보내줘) Don’t call me Don’t call me (Wait I hate your call) Don’t call 난 찾을 거야 Love 더 아름다운 지독했던 너와 나 잊을 수 있는 계속 말하잖아 Next time은 없어 In your life 네 사랑 난 이제 아냐 지워 날 잊어버려 제발 난 널 몰라 So 내게 전화하지 마"
94,青春的夢,什麼帶至都還不知影 就想要趕緊來登大人 大人說你要唸書還是當流氓 我只想要證明我是誰 是什麼時候咱都已經不再是孩子 所有一切都像是電影 這就是咱青春的夢 這首歌給你的思念 不會忘記那天我們的發誓 一定會做一個好兒 這個巷子已經都沒人 想起到那天在拼輸贏 就為了一個七仔換來是頭殼破 散來笑笑 都馬沒算啥 什麼時候咱都已經不再是孩子 所有一切都像是電影 這就是咱青春的夢 這首歌給你的思念 不會忘記那天我們的發誓 一定會做一個好兒 這就是咱青春的夢 這首歌給你的思念 不會忘記那天我們的發誓 一定會做一個好兒 這就是咱青春的夢 這首歌給你的思念 不會忘記那天我們的發誓 一定會做一個好兒 青春的夢 青春的夢
95,Celebrity Skin,"Oh, make me over I'm all I wanna be A walking fire You can't get rid of me Hey, so glad you could make it Yeah, now you really made it Hey, so glad you could make it now Oh, look at my face My name is ""Might-Have-Been"" My name is ""Never Was"" My name's forgotten Hey, so glad you could make it Yeah, now you really made it Hey, there's only us left now When I wake up in my makeup It's too early for that dress Wilted and faded somewhere in Hollywood I'm glad I came hеre with your pound of flesh No second billing 'causе you're a star now Cinderella, they aren't trash like you Beautiful garbage, beautiful dresses Can you stand up or will you just fall down? You better watch out What you wish for It better be worth it So much to die for Hey, so glad you could make it Yeah, now you've really made it Hey, there's only us left now When I wake up in my makeup Have you ever felt so used up as this? It's all so sugarless, Mrs. Waitress Model, actress, oh, just go nameless Honeysuckle, she's full of poison She obliterated everything she kissed Now she's fading somewhere in Hollywood I'm glad I came here with your pound of flesh You want a part of me? Well, I'm not selling cheap No, I'm not selling cheap"
96,Soft Lips,"This girl, she's so beautiful Soft lips of an angel Oh, damn She really melts my heart Met through my cousin, it was different off top That's the reason I ain't never treat you like a bop Skipped a couple stages, we talked ‘bout a lot One week later know my mind and my heart Where could this go? I don't really know where could this go But I'm down to see We should do brunch if you down to eat Then do it every week till it's routine I'm down to try something new Usually, this ain't what I do Usually, it's no date two Usually, I stick and I move Don't know if it's timing or you, so What you wanna do? Better yet what you wanna ask I'm down to share it all from my past 'Cause this a vibe that I wanna see last Lips of an angel, girl Lips of an Lips of an angel, girl Lips of an (Lips of an angel) When you came over for the Sparks game It was only one thing on my brain But I had to be respectful I knew that you was special When we spoke about chateau de Lamarque How to play golf The Pistons and how trash that they are (they are) And that don't happen everyday This the only thing I wanna say (wanna say) I'm down to try something new Usually, this ain't what I do Usually, it's no date two Usually, I stick and I move Don't know if it's timing or you, so What you wanna do? Better yet what you wanna ask I'm down to share it all from my past 'Cause this a vibe that I wanna see last Lips of an angel, girl Lips of an Lips of an angel, girl Lips of an (Lips of an angel) (This love is so beautiful) You know not even saying that I like This is what it is I'm just saying like (Soft lips of an angel) If it is what it is, I ain't gonna stop it from being what it is You feel me? (Oh, damn) I got the FaceTime for you later (She really melts my heart) Allow me Lips of an angel, girl Lips of an Lips of an angel, girl Lips of an (Lips of an angel)"
97,Let the Bass Go,"People to people, party to place Having the time of your life is all on your face Hands in the sky, while snatch and catch in the vibe We go uptown, downtown, that’s how we ride! Get your strip mode, it’s where we… It’s the top dough, the top… for driving the trash Let, let the bass move, let it go! (Let, let the bass move, let it go) Bass, bass, move, let it go Bass, bass, move, let it go Bass, bass, move, let it go Bass, bass, move, let it go Now I’ve seen players, too many to name Some gain recognition and even fame Some go slow and some may go fast But me and my partners we dip and we dash Every flipping the cash, rip zipping the bag Should be slip when it crash, all good never bad All you never had, dreams do come true For me and you, so let it do what it do! Boy, let me say, it’s the ride of your life And if you’re rolling with me I tell you, I’ll do you right So put your seat belt on, and let your hair… And if you… then I suggest you let it go! People to people, party to place Having the time of your life is all on your face Hands in the sky, while snatch and catch in the vibe We go uptown, downtown, that’s how we ride! Get your strip mode, it’s where we… It’s the top dough, the top… for driving the trash Let, let the bass move, let it go! (Let, let the bass move, let it go) Bass, bass, move, let it go Bass, bass, move, let it go Bass, bass, move, let it go Bass, bass, move, let it go Ride, ride, roll it, roll it, tip it, advance it Turn it, burn it, take it, adjust it! We can bounce and ball, just tell me how you play I never give up, I do this thing like everyday And I break it down in her way Oh man, I got carried away But anyway I’mma say I feel good everyday! Every way, ta, ta, ta I’ll make the beat go pa pa pa... the heat, stop the beat Listen, attention, permission Cause this is grand thing bang, bang Same range, change… Playing games, get you with you, flick it up! I slip... can’t get with us No matter what! It’s better up It’s better not That’s what they ask Come out the grass, so do it fast! People to people, party to place Having the time of your life is all on your face Hands in the sky, while snatch and catch in the vibe We go uptown, downtown, that’s how we ride! Get your strip mode, it’s where we… It’s the top dough, the top… for driving the trash Let, let the bass move, let it go! (Let, let the bass move, let it go) Bass, bass, move, let it go Bass, bass, move, let it go Bass, bass, move, let it go Bass, bass, move, let it go"
98,Before He Cheats,"Right now He's probably slow dancing with a bleached-blonde tramp And she's probably getting frisky... Right now, He's probably buying her some fruity little drink cause she can't shoot whiskey Right now, he's probably up behind her with a pool-stick Showing her how to shoot a combo... And he don't know... That I dug my key into the side of his pretty little souped up 4 wheel drive Carved my name into his leather seats... I took a Louisville slugger to both head lights Slashed a hole in all 4 tires... And maybe next time he'll think before he cheats Right now, she's probably up singing some White-trash version of Shania karaoke.. Right now, she's probably saying ""I'm drunk"" And he's a thinking that he's gonna get lucky Right now, he's probably dabbing on 3 dollars worth of that bathroom cologne And he don't know... That I dug my key into the side of his pretty little souped up 4 wheel drive Carved my name into his leather seats I took a Louisville slugger to both head lights Slashed a hole in all 4 tires... And maybe next time he'll think before he cheats I might saved a little trouble for the next girl Cause the next time that he cheats... Nooo, you know it won't be on me! Ohh... not on me... Cause I dug my key into the side of his pretty little souped up 4 wheel drive Carved my name into his leather seats... I took a Louisville slugger to both head lights Slashed a hole in all 4 tires... Maybe next time he'll think before he cheats Ohh.. Maybe next time he'll think before he cheats... Ohh... before he cheats..."
99,Technologic - Radio Edit,"Technologic (Radio Edit) Buy it, use it, break it, fix it, Trash it, change it, mail, upgrade it. Charge it, point il, zoom it press it, Snap it, work it, quick, erase it . Write it, cut it, past it, save it, Load it, check it, quick, rewrite it. Plug it, play it, burn it, rip it, Drag and drop it, zip, unzip it. Lock it, fill it, call it, find it, View it, code it, jam, unlock it. Surf it, scroll it, pause il,click it, Cross it, crack it, switch, update it. Name it, rate it, tune it, print it, Scan it, send it, fax, rename it. Touch it, bring it, pay it, watch it, Turn it, leave it, start, formate it. Technologic, technologic, technologic, technologic Buy it, use it, break it, fix it, Trash it, change it, mail , upgrade it. Charge it, point il ,zoom it press it, Snap it, work it, quick , erase it . Write it, cut it, past it, save it, Load it, check it, quick , rewrite it. Plug it, play it, burn it, rip it, Drag and drop it, zip , unzip it. Lock it, fill it, call it, find it, View it, code it, jam , unlock it. Surf it, scroll it, pause il ,click it, Cross it, crack it, switch , update it. Name it, rate it, tune it, print it, Scan it, send it, fax , rename it. Touch it, bring it, pay it, watch it, Turn it, leave it, start , formate it. Buy it, use it, break it, fix it, Trash it, change it, mail , upgrade it. Charge it, point il ,zoom it press it, Snap it, work it, quick , erase it . Write it, cut it, past it, save it, Load it, check it, quick , rewrite it. Plug it, play it, burn it, rip it, Drag and drop it, zip , unzip it. Touch it, bring it, pay it, watch it, Turn it, leave it, start , formate it. Surf it, scroll it, pause il ,click it, Cross it, crack it, switch , update it. Surf it, scroll it, pause il ,click it, Cross it, crack it, switch , update it. Name it, rate it, tune it, print it, Scan it, send it, fax , rename it. Touch it, bring it, pay it, watch it, Turn it, leave it, start , formate it. Buy it, use it, break it, fix it, Trash it, change it, mail , upgrade it. Charge it, point il ,zoom it press it, Snap it, work it, quick , erase it . Write it, cut it, past it, save it, Load it, check it, quick , rewrite it. Plug it, play it, burn it, rip it, Drag and drop it, zip , unzip it. Surf it, scroll it, pause il ,click it, Cross it, crack it, switch , update it. Name it, rate it, tune it, print it, Scan it, send it, fax , rename it. Touch it, bring it, pay it, watch it, Turn it, leave it, start , formate it. Buy it, use it, break it, fix it, Trash it, change it, mail , upgrade it. Charge it, point il ,zoom it press it, Snap it, work it, quick , erase it . Write it, cut it, past it, save it, Load it, check it, quick , rewrite it. Plug it, play it, burn it, rip it, Drag and drop it, zip , unzip it. Surf it, scroll it, pose it, click it, Cross it, crack it, twitch - update it, Name it, rate it, tune it, print it, Scan it, send it, fax - rename it, Technologic, technologic, technologic, technologic"
100,"Merry Christmas, Kiss My Ass","They told me I was lucky To have my chance with you Now last year's summer romance Is this year's winter blues I treated you so nicely To jewelry and champagne But you left me empty handed, yeah You left me feeling played And I hope you're happy with yourself 'Cause I'm not laughing Don't ya think, it's kind of crappy What you did this holiday? When I gave you my heart You ripped it apart Like the wrapping paper trash So I wrote you a song Hope that you sing along And it goes Merry Christmas Kiss my ass They say I'm losing my mind I thought that for a while I tear down decorations They remind me if your smile I hate that mistletoe It makes me think of our first kiss You bit my lip, and pulled me close Then you taught me how to quit And I hope you're happy with yourself 'Cause I'm not laughing Don't you think, it's kind of Crappy What you did this holiday When I gave you my heart You ripped it apart Like the wrapping paper trash So I wrote you a song Hope that you sing along And it goes Merry Christmas Kiss my ass So sick if calling You won't telephone me No, fuck you girl, I'm going out I gave you my all But our love hit a wall Now, I'm jingle belling And everyone's yelling We'll drink 'til the bars shut us down Ain't that just what Christmas is all about? And I hope you're happy with yourself 'Cause I'm not laughing (not laughing) Don't you think it's so damn trashy What you did this holiday? (so trashy) I gave you my heart (heart) You ripped it apart Like wrapping paper trash (wrapping paper trash) So I write you a song Hope that you sing along Here it goes Merry Christmas (bitch) Kiss my ass"
101,不是人,編曲：TRASH 嘿~難道你還沒清醒 已經沒回頭路可以去 嘿~不要再說謊話 原來你的良心都被狗吃去 嘿~根本是妖魔轉世 吃人的米吸人的血錢 嘿~機會都已經給你 不要再這樣繼續傷天害理 不要再這樣繼續不要無緊 現在我才可以體會當時我爸跟我說的話 沒人可以改變這個黑暗的時代 多少人依舊 要哭沒眼淚 要是這個世界已經都沒人出聲 請你要知道 這裡還有我 他根本不是人 他根本不是人 他根本不是人 沒人可以改變這個黑暗的時代 多少人依舊 要哭沒眼淚 要是這個世界已經都沒人出聲 請你要知道 這裡還有我 他根本不是人 他根本不是人 他根本不是人 他根本不是人
102,They Don't Care About Us,"Skin head, dead head, everybody gone bad, Situation, aggravation, everybody allegation In the suite, on the news, everybody dog food Bang bang, shock dead, everybody's gone mad All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us Beat me, hate me, you can never break me Will me, thrill me, you can never kill me Do me, sue me, everybody do me Kick me, strike me, Don't you black or white me All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us Tell me what has become of my life, I have a wife and two children who love me I am the victim of police brutality now, I'm tired of bein' the victim of hate You're rapin' me of my pride, Oh, for God's sake I look to heaven to fulfill its prophecy..., Set me free Skin head, dead head, everybody gone bad trepidation, speculation, everybody allegation In the suite, on the news, everybody dog food black man, black mail, throw your brother in jail All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us Tell me what has become of my rights, Am I invisible because you ignore me? Your proclamation promised me free liberty, now I'm tired of bein' the victim of shame They're throwing me in a class with a bad name I can't believe this is the land from which I came You know I do really hate to say it The government don't wanna see But if Roosevelt was livin', he wouldn't let this be, no, no Skin head, dead head, everybody gone bad Situation, speculation, everybody litigation Beat me, bash me, you can never trash me Hit me, kick me, you can never get me All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us Some things in life they just don't wanna see But if Martin Luther was livin', he wouldn't let this be Skin head, dead head, everybody gone bad Situation, segregation, everybody allegation In the suite, on the news, everybody dog food Kick me, strike me, don't you wrong or right me All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us All I wanna say is that, they don't really care about us"
103,Take It Off,"There's a place downtown Where the freaks all come around It's a hole in the wall, it's a dirty free for all When the dark of the night comes around That's the time, that the animal comes alive Looking for something wild And now we lookin' like pimps In my gold Trans-Am Got a water bottle full of whiskey In my handbag got my drunk text on I'll regret it in the mornin' But tonight I don't give a, I don't give a, I don't give a There's a place downtown, Where the freaks all come around It's a hole in the wall, it's a dirty free for all And they turn me on When they take it off, when they take it off everybody take it off There's a place I know if you're looking for a show Where they go hardcore and there's glitter on the floor And they turn me on when they take it off When they take it off everybody take it off Lose your mind, lose it now Lose your clothes, in the crowd We're delirious tear it down 'Til the sun comes back around N-now we're getting so smashed Knocking over trash cans Everybody breakin' bottles It's a filthy hot mess Gonna get laid I'm not the designated Driver so I don't give a, I don't give a, I don't give a There's a place downtown Where the freaks all come around It's a hole in the wall, it's a dirty free for all And they turn me on, when they take it off When they take it off, everybody take it off There's a place I know If you're looking for a show Where they go hardcore And there's glitter on the floor And they turn me on, when they take it off When they take it off, everybody take it off Oh, oh, oh! Everybody take it off! Oh, oh, oh! Everybody take it off! Right now! take it off! Right now! Take it off! Right now! Take it off! Oh Right now! take it off! Right now! Take it off! Right now! Take it off! Everybody take it off! There's a place downtown Where the freaks all come around It's a hole in the wall, it's a dirty free for all And they turn me on When they take it off, when they take it off everybody take it off There's a place I know If you're looking for a show Where they go hardcore And there's glitter on the floor And they turn me on, when they take it off When they take it off, everybody take it off"
104,Fancy,"First things first, I'm the realest (realest) Drop this and let the whole world feel it (let 'em feel it) And I'm still in the Murda Bizness I can hold you down, like I'm givin' lessons in physics (right) You should want a bad bitch like this (ha) Drop it low and pick it up just like this (yeah) Cup of Ace, cup of Goose, cup of Cris High heels, somethin' worth a half a ticket on my wrist (on my wrist) Takin' all the liquor straight, never chase that (never) Rooftop like we bringin' '88 back (what) Bring the hooks in, where the bass at? Champagne spillin', you should taste that I'm so fancy You already know I'm in the fast lane From L.A. to Tokyo I'm so fancy Can't you taste this gold Remember my name, 'bout to blow I said baby, I do this, I thought that, you knew this Can't stand no haters and honest, the truth is And my flow retarded, they speak it, depart it Swagger on super, I can't shop at no department Better get my money on time, if they not money, decline And swear I meant that there so much that they give that line a rewind So get my money on time, if they not money, decline I just can't worry 'bout no haters, gotta stay on my grind Now tell me, who that, who that? That do that, do that? Put that paper over all, I thought you knew that, knew that I be that I-G-G-Y, put my name in bold I been working, I'm up in here with some change to throw I'm so fancy You already know I'm in the fast lane From L.A. to Tokyo I'm so fancy Can't you taste this gold Remember my name, 'bout to blow Trash the hotel Let's get drunk on the mini bar Make the phone call Feels so good getting what I want, yeah Keep on turning it up Chandelier swinging, we don't give a fuck Film star, yeah I'm deluxe Classic, expensive, you don't get to touch, ow Still stunting, how you love that Got the whole world asking how I does that Hot girl, hands off, don't touch that Look at that I bet you wishing you could clutch that Just the way you like it, huh? You're so good, he's just wishing he could bite it, huh? (say what what?) Never turn down money Slaying these hoes, gold trigger on the gun like I'm so fancy You already know I'm in the fast lane From L.A. to Tokyo I'm so fancy Can't you taste this gold Remember my name, 'bout to blow Who that, who that, I-G-G-Y That do that, do that, I-G-G-Y Who that, who that, I-G-G-Y (Blow) Who that, who that, I-G-G-Y That do that, do that, I-G-G-Y Who that, who that, I-G-G-Y (Blow)"
105,Thrift Shop (feat. Wanz),"Hey Macklemore! Can we go thrift shopping? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? What? I'm gonna pop some tags Only got twenty dollars in my pocket I-I-I'm hunting, looking for a come up This is fucking awesome Walk into the club like ""What up? I got a big cock!"" Nah, I'm just pumped, bought some shit from a thrift shop Ice on the fringe is so damn frosty People like ¨Damn, that's a cold ass honky!〃 Rolling in hella deep, headed to the mezzanine Dressed in all pink except my gator shoes, those are green Draped in a leopard mink, girl standing next to me Probably shoulda washed this,cause it smells like R. Kelly's sheets (Pissss sssssssssssssssssssssssssssssssssss) But shit, it was ninety-nine cents! Copping it, washing it, 'bout to go and get some compliments, Passing up on those moccasins someone else been walking in, Bummy and grudgy, fucking it, I am stunting and flossing and saving money and I'm hella happy That's a bargain, bitch, Imma take your grandpa's style Imma take your grandpa's style, no for real, ask your grandpa Can I have his hand-me-downs? (Thank you!) Velour jumpsuit and some house slippers Dookie brown leather jacket that I found (Dig it!) They had a broken keyboard, I bought a broken keyboard I bought a skeet blanket, then I bought a knee board Hello, hello, my ace man, my Miller John Wayne ain't got nothing on my fringe game, hell no I could take some Pro Wings, make them cool, sell those The sneaker heads would be like ¨Ah, he got the Velcros!〃 I'm gonna pop some tags Only got twenty dollars in my pocket I-I-I'm hunting, looking for a come up This is fucking awesome I'm gonna pop some tags Only got twenty dollars in my pocket I-I-I'm hunting, looking for a come up This is fucking awesome What you know about rocking a wolf on your noggin? What you knowing about wearing a fur fox skin? I'm digging, I'm digging, I'm searching right through that luggage One man's trash, that's another man's come up Thank your granddad for donating that plaid button-up shirt ˉCause right now, I'm up in her skirt I'm at the Goodwill, you can find me in the Uptons I'm not I'm not stuck on searching in this section Your grandma, your aunty, your momma, your mammy I'll take those flannel zebra jammies, secondhand and rock that motherfu cker The built-in onesie with the socks on that motherfucker I hit the party and they stop in that motherfucker They be like ¨Oh that Gucci, that's hella tight!〃 I'm like ¨Yo, that's fifty dollars for a t-shirt!〃 Limited edition, let's do some simple addition Fifty dollars for a t-shirt, that's just some ignorant bitch shit I call that getting swindled and pimped, shit I call that getting tricked by a business, that shirt's hella dough And having the same one as six other people in this club is a hella don't Peep game, come take a look through my telescope Trying to get girls from a brand. Man, you hella won't, man, you hella wo n't (Goodwill... poppin' tags... yeah!) I'm gonna pop some tags Only got twenty dollars in my pocket I-I-I'm hunting, looking for a come up This is fucking awesome I'll wear your granddad's clothes I look incredible I'm in this big ass coat From that thrift shop down the road I wear your granddad's clothes I look incredible I'm in this big ass coat From that thrift shop down the road I'm gonna pop some tags Only got twenty dollars in my pocket I-I-I'm hunting, looking for a come up This is fucking awesome Is that your grandma's coat?"
106,放蕩 - Unplugged,編曲：TRASH 三更半夜我睡不著 愛找朋友出來耗 知道哪有樂子往哪處跑 哪裡妹多往哪靠 他說 她 不是他的菜 誰又說誰比誰帥 這種日子如果你受不了 就不要出來走跳 怎麼辦我們是 沒未來的小孩 白日夢做不夠 這生活沒停過 這生活多放蕩 多危險我不知道 偏跟你唱反調 又怎樣 你能怎樣 這生活多放蕩 多危險我不知道 偏跟你唱反調 又怎樣 你能怎樣 誰不知道你睡過誰 這時代誰不隨便 找個對眼就開房間 隔天哪管你是誰 想打架我們沒在怕 就怕你是臭俗仔 或許這些都還不足夠 滿足你要的快樂 怎麼辦我們是 沒未來的小孩 白日夢做不夠 這生活沒停過 這生活多放蕩 多危險我不知道 偏跟你唱反調 又怎樣 你能怎樣 這生活多放蕩 多危險我不知道 偏跟你唱反調 又怎樣 你能怎樣
107,當你在瀕臨崩潰之時,房間裡已空無一人 往上的樓層陰暗的階梯 知道撥了還是關機狀態 這陰天和藍色的悲哀 這個世界 對啦 又虛偽 又疲憊 連掉眼淚都學不會 當你在 這瀕臨崩潰時候 選擇墜落還是飛行跟著節奏 Would you go 丟掉那負面念頭 下一分鐘 創造新的平行宇宙 跨越無數座地下道 希望角落有熟悉的身影 我沿著地面紅色斑點噴漆 腳印模糊了微薄的訊息 這個世界 對啦 又虛偽 又疲憊 連掉眼淚都學不會 當你在 這瀕臨崩潰時候 選擇墜落還是飛行跟著節奏 Would you go 丟掉那負面念頭 下一分鐘 創造新的平行宇宙 看著我 牽著我的手 跟著我 當你在 這瀕臨崩潰時候 選擇墜落還是飛行跟著節奏 Would you go 丟掉那負面念頭 下一分鐘 創造新的平行宇宙 當你在 這瀕臨崩潰時候 選擇墜落還是飛行跟著節奏 Would you go 丟掉那負面念頭 下一分鐘 創造新的平行宇宙
108,One Man Band,"Been flying solo for so long Nobody's singing the harmony Up there just me and my shadow No bass, no guitar, no tambourine And I found you like a melody You were singing in the same key as me We had 'em dancing in the streets I don't wanna be a one man band I don't wanna be a rolling stone, alone Putting miles on a run-down van Baby, we could take our own show on the road I'll lay down the beat, you carry the tune We'll get tattoos, and we'll trash hotel rooms Baby, take my hand I don't wanna be a one man band No I wanna run down your wild dreams And I wanna chase every high with you Count every rip in these old jeans We'll never learn how to sing the blues If I'm gonna be famous Girl, I wanna be famous with you We got our own little groove I don't wanna be a one man band I don't wanna be a rolling stone, alone Putting miles on a run-down van Baby, we can take our own show on the road I'll lay down the beat, you carry the tune We'll get tattoos, and we'll trash hotel rooms Baby, take my hand 'Cause I don't wanna be a one man band When the spotlight goes cold, and the curtains come down The chairs are all stacked, and there's no one around And nobody's paying, we'll still be playing I don't wanna be a one man band I don't wanna be a rolling stone, alone Putting miles on a run-down van Baby, we can take our own show on the road I'll lay down the beat, you carry the tune We'll get tattoos, and we'll trash hotel rooms Baby, take my hand 'Cause I don't wanna be a one man band I don't wanna be a one man band"
