UNIQID	variance	skewness	curtosis	entropy
r524	1.2746	8.8172	-1.5323	-1.7957
r22	0.93584	8.8855	-1.6831	-1.6599
r458	0.77445	9.0552	-2.4089	-1.3884
r313	1.1811	8.3847	-2.0567	-0.90345
r578	1.1588	8.9331	-2.0807	-1.1272
r573	1.1676	9.1566	-2.0867	-0.80647
r673	1.3754	8.8793	-1.9136	-0.53751
r545	1.4507	8.7903	-2.2324	-0.65259
r434	1.2138	8.7986	-2.1672	-0.74182
r9	1.2247	8.7779	-2.2135	-0.80647
r372	1.9105	8.871	-2.3386	-0.75604
r8	1.5356	9.1772	-2.2718	-0.73535
r686	-0.53966	7.3273	0.46583	-1.4543
r408	0.64295	7.1018	0.3493	-0.41337
r498	0.88444	6.5906	0.55837	-0.44182
r86	0.87603	6.8141	0.84198	-0.17156
r746	-0.023579	7.1742	0.78457	-0.75734
r660	-0.11996	6.8741	0.91995	-0.6694
r532	0.045304	6.7334	1.0708	-0.9332
r583	0.33565	6.8369	0.69718	-0.55691
r470	0.39559	6.8866	1.0588	-0.67587
r722	0.74841	7.2756	1.1504	-0.5388
r203	0.83292	7.5404	0.65005	-0.92544
r77	0.24835	7.6439	0.9885	-0.87371
r406	-0.062025	6.1975	1.099	-1.131
r396	-0.39816	5.9781	1.3912	-1.1621
r674	-0.16682	5.8974	0.49839	-0.70044
r642	0.38251	6.8121	1.8128	-0.61251
r468	0.1848	6.5079	2.0133	-0.87242
r76	0.049175	6.1437	1.7828	-0.72113
r113	1.7819	6.9176	-1.2744	-1.5759
r678	0.77805	6.6424	-1.1425	-1.0573
r751	0.38478	6.5989	-0.3336	-0.56466
r675	0.29961	7.1328	-0.31475	-1.1828
r264	1.594	4.7055	1.3758	0.081882
r516	1.762	4.3682	2.1384	0.75429
r361	1.7452	4.8028	2.0878	0.62627
r430	1.3087	4.9228	2.0013	0.22024
r702	1.3114	4.5462	2.2935	0.22541
r158	1.3566	4.2358	2.1341	0.3211
r465	1.1472	3.5985	1.9387	-0.43406
r241	1.6406	3.5488	1.3964	-0.36424
r599	1.1558	6.4003	1.5506	0.6961
r523	0.33111	4.5731	2.057	-0.18967
r595	0.65497	5.1815	1.0673	-0.42113
r685	0.76163	5.8209	1.1959	-0.64613
r647	0.77765	5.9781	1.1941	-0.3526
r436	0.5415	6.0319	1.6825	-0.46122
r132	0.4339	5.5395	2.033	-0.40432
r60	0.49665	5.527	1.7785	-0.47156
r640	0.94225	5.8561	1.8762	-0.32544
r391	0.86736	5.5643	1.6765	-0.16769
r352	0.88872	5.3449	2.045	-0.19355
r337	0.96414	5.616	2.2138	-0.12501
r42	0.96441	5.8395	2.3235	0.066365
r223	-0.36038	4.1158	3.1143	-0.37199
r394	1.2616	4.4303	-1.3335	-1.7517
r312	2.1274	5.1939	-1.7971	-1.1763
r506	4.6014	5.6264	-2.1235	0.19309
r717	4.0932	5.4132	-1.8219	0.23576
r437	4.0524	5.6802	-1.9693	0.026279
r699	3.9262	6.0299	-2.0156	-0.065531
r471	3.8384	6.1851	-2.0439	-0.033204
r291	4.1349	6.1189	-2.4294	-0.19613
r365	3.5189	6.332	-1.7791	-0.020273
r274	3.4312	6.2637	-1.9513	-0.36165
r176	3.6582	5.6864	-1.7157	-0.23751
r332	3.0009	5.8126	-2.2306	-0.66553
r608	3.4092	5.4049	-2.5228	-0.89958
r485	3.8832	6.4023	-2.432	-0.98363
r47	3.9102	6.065	-2.4534	-0.68234
r518	3.4669	6.87	-1.0568	-0.73147
r476	3.4893	6.69	-1.2042	-0.38751
r327	3.5152	6.8224	-0.67377	-0.46898
r182	2.9421	7.4101	-0.97709	-0.88406
r734	3.5358	6.7086	-0.81857	0.47886
r696	3.6077	6.8576	-1.1622	0.28231
r636	3.3004	7.0811	-1.3258	0.22283
r343	3.5982	7.1307	-1.3035	0.21248
r239	3.2704	6.9321	-1.0456	0.23447
r242	2.7744	6.8576	-1.0671	0.075416
r124	2.994	7.2011	-1.2153	0.3211
r703	3.7022	6.9942	-1.8511	-0.12889
r622	3.7758	7.1783	-1.5195	0.40128
r115	3.8969	7.4163	-1.8245	0.14007
r112	4.2188	6.8162	-1.2804	0.76076
r300	2.9719	6.8369	-0.2702	0.71291
r83	3.245	6.63	-0.63435	0.86937
r220	2.4196	6.4665	-0.75688	0.228
r272	2.6946	6.7976	-0.40301	0.44912
r55	2.5635	6.7769	-0.61979	0.38576
r637	2.7213	7.05	-0.58808	0.41809
r43	2.8561	6.9176	-0.79372	0.48403
r664	1.8373	6.1292	0.84027	0.55257
r625	1.8384	6.063	0.54723	0.51248
r453	1.602	6.1251	0.52924	0.47886
r443	1.3349	6.1189	0.46497	0.49826
r256	2.2034	5.9947	0.53009	0.84998
r423	1.9429	6.3961	0.092248	0.58102
r131	2.0139	6.1416	0.37929	0.56938
r401	1.9647	6.9383	0.57722	0.66377
r186	1.8314	6.3672	-0.036278	0.049554
r613	2.5089	6.841	-0.029423	0.44912
r338	1.8205	6.7562	0.0099913	0.39481
r116	2.108	6.7955	-0.1708	0.4905
r110	1.518	5.6946	0.094818	-0.026738
r294	2.1464	6.0795	-0.5778	-2.2302
r547	1.8533	6.1458	1.0176	-2.0401
r429	1.5691	6.3465	-0.1828	-2.4099
r489	1.9321	6.0423	0.26019	-2.053
r196	1.9157	6.0816	0.23705	-2.0116
r390	2.1265	6.8783	0.44784	-2.2224
r45	2.0843	6.6258	0.48382	-2.2134
r687	2.6213	5.7919	0.065686	-1.5759
r398	2.9695	5.6222	0.27561	-1.1556
r316	2.6718	5.6574	0.72974	-1.4892
r288	3.2422	6.2265	0.12224	-1.4466
r51	3.1452	5.825	-0.51439	-1.4944
r52	2.549	6.1499	-1.1605	-1.2371
r503	2.8297	6.3485	-0.73546	-0.58665
r263	2.483	6.6155	-0.79287	-0.90863
r34	2.4391	6.4417	-0.80743	-0.69139
r519	3.1896	5.7526	-0.18537	-0.30087
r644	2.9233	6.0464	-0.11168	-0.58665
r35	2.6881	6.0195	-0.46641	-0.69268
r7	3.2032	5.7588	-0.75345	-0.61251
r27	6.5633	9.8187	-4.4113	-3.2258
r135	5.438	9.4669	-4.9417	-3.9202
r433	5.6272	10.0857	-4.2931	-3.8142
r380	5.4188	10.1457	-4.084	-3.6991
r270	5.3915	9.9946	-3.8081	-3.3642
r606	5.7456	10.1808	-4.7857	-4.3366
r596	5.6084	10.3009	-4.8003	-4.3534
r700	5.591	10.4643	-4.3839	-4.3379
r571	5.504	10.3671	-4.413	-4.0211
r137	5.2418	10.5388	-4.1174	-4.2797
r18	5.2423	11.0272	-4.353	-4.1013
r530	3.3583	10.3567	-3.7301	-3.6991
r119	3.4642	10.6878	-3.4071	-4.109
r454	2.6682	10.216	-3.4414	-4.0069
r601	2.7831	10.9796	-3.557	-4.4039
r492	2.8084	11.3045	-3.3394	-4.4194
r654	2.6562	10.7044	-3.3085	-4.0767
r511	2.6648	10.754	-3.3994	-4.1685
r357	2.6917	10.8161	-3.3	-4.2888
r541	2.8232	10.8513	-3.1466	-3.9784
r108	2.9163	10.8306	-3.3437	-4.122
r105	2.3136	10.6651	-3.5288	-4.7672
r610	3.8197	8.9951	-4.383	-4.0327
r209	4.2899	9.1814	-4.6067	-4.3263
r326	4.2164	9.4607	-4.9288	-5.2366
r559	4.0446	11.1741	-4.3582	-4.7401
r152	3.4591	11.112	-4.2039	-5.0931
r388	3.7982	10.423	-4.1602	-4.9728
r253	4.0102	10.6568	-4.1388	-5.0646
r97	3.82	10.9279	-4.0112	-5.0284
r134	4.1605	11.2196	-3.6136	-4.0819
r691	3.9771	11.1513	-3.9272	-4.3444
r562	4.1195	10.9258	-3.8929	-4.1802
r415	4.3483	11.1079	-4.0857	-4.2539
r61	4.2586	11.2962	-4.0943	-4.3457
r222	4.6464	10.5326	-4.5852	-4.206
r73	4.4069	10.9072	-4.5775	-4.4271
r421	4.8368	10.0132	-4.3239	-4.3276
r307	4.616	10.1788	-4.2185	-4.4245
r71	4.7181	10.0153	-3.9486	-3.8582
r23	4.4338	9.887	-4.6795	-3.7483
r269	3.8417	10.0215	-4.2699	-4.9159
r210	3.5156	10.1891	-4.2759	-4.978
r551	3.6894	9.887	-4.0788	-4.3664
r266	3.8496	9.7939	-4.1508	-4.4582
r382	3.8117	10.1457	-4.0463	-4.5629
r698	3.9166	10.2491	-4.0926	-4.4659
r190	3.9663	10.1684	-4.1131	-4.6056
r120	4.0713	10.4023	-4.1722	-4.7582
r447	3.9364	10.5885	-3.725	-4.3133
r392	3.7831	10.0526	-3.8869	-3.7366
r202	4.1757	10.2615	-3.8552	-4.3056
r755	4.0127	10.1477	-3.9366	-4.0728
r712	4.0962	10.1891	-3.9323	-4.1827
r143	3.8481	10.1539	-3.8561	-4.2228
r322	3.884	10.0277	-3.9298	-4.0819
r21	3.9362	10.1622	-3.8235	-4.0172
r377	2.8523	9.0096	-3.761	-3.3371
r4	4.3684	9.6718	-3.9606	-3.1625
r353	3.5458	9.3718	-4.0351	-3.9564
r107	3.106	9.5414	-4.2536	-4.003
r441	3.359	9.8022	-3.8209	-3.7133
r452	3.5761	9.7753	-3.9795	-3.4638
r411	3.7767	9.7794	-3.9075	-3.5323
r320	3.7352	9.5911	-3.9032	-3.3487
r38	3.4805	9.7008	-3.7541	-3.4379
r2	3.4566	9.5228	-4.0112	-3.5944
r111	3.2351	9.647	-3.2074	-2.5948
r303	2.3729	10.4726	-3.0087	-3.2013
r162	2.4008	9.3593	-3.3565	-3.3526
r729	2.8672	10.0008	-3.2049	-3.1095
r369	2.2526	9.9636	-3.1749	-2.9944
r473	2.5817	9.7546	-3.1749	-2.9957
r238	2.3952	9.5083	-3.1783	-3.0086
r178	2.3925	9.798	-3.0361	-2.8224
r432	2.229	9.6325	-3.1123	-2.7164
r66	2.4235	9.5332	-3.0789	-2.7746
r375	3.2303	7.8384	-3.5348	-1.2151
r211	2.614	8.0081	-3.7258	-1.3069
r413	1.9818	9.2621	-3.521	-1.872
r550	3.534	9.3614	-3.6316	-1.2461
r504	2.565	8.633	-2.9941	-1.3082
r661	2.9736	8.7944	-3.6359	-1.3754
r298	2.2928	9.0386	-3.2417	-1.2991
r243	2.4287	9.3821	-3.2477	-1.4543
r572	2.8521	9.171	-3.6461	-1.2047
r206	2.5605	9.2683	-3.5913	-1.356
r480	2.8261	9.4007	-3.3034	-1.0509
r355	2.7206	9.0821	-3.3111	-0.96811
r79	2.8033	9.0862	-3.3668	-1.0224
r39	4.1711	8.722	-3.0224	-0.59699
r486	3.4776	8.811	-3.1886	-0.92285
r160	3.5499	8.6165	-3.2794	-1.2009
r466	2.9742	8.96	-2.9024	-1.0379
r460	3.0948	8.7324	-2.9007	-0.96682
r356	3.2051	8.6889	-2.9033	-0.7819
r714	3.4916	8.5709	-3.0326	-0.59182
r13	3.404	8.7261	-2.9915	-0.57242
r615	3.946	6.8514	-1.5443	-0.5582
r259	3.7731	7.2073	-1.6814	-0.94742
r195	4.1454	7.257	-1.9153	-0.86078
r745	4.6499	7.6336	-1.9427	-0.37458
r711	4.7965	6.9859	-1.9967	-0.35001
r623	4.6562	7.6398	-2.4243	-1.2384
r533	4.8278	7.7598	-2.4491	-1.2216
r461	4.9362	7.6046	-2.3429	-0.85302
r339	4.9923	7.8653	-2.3515	-0.71984
r484	3.6575	7.2797	-2.2692	-1.144
r684	4.0715	7.6398	-2.0824	-1.1698
r736	4.1542	7.2756	-2.4766	-1.2099
r308	4.2478	7.6956	-2.7696	-1.0767
r31	4.2969	7.617	-2.3874	-0.96164
r450	5.681	7.795	-2.6848	-0.92544
r19	5.7867	7.8902	-2.6196	-0.48708
r467	4.5707	7.2094	-3.2794	-1.4944
r262	4.988	7.2052	-3.2846	-1.1608
r75	3.7935	7.9853	-2.5477	-1.872
r721	4.8451	8.1116	-2.9512	-1.4724
r566	5.0214	8.0764	-3.0515	-1.7155
r723	5.1213	8.5565	-3.3917	-1.5474
r431	5.1776	8.2316	-3.2511	-1.5694
r743	4.9852	8.3516	-2.5425	-1.2823
r136	5.032	8.2026	-2.6256	-1.0341
r130	5.1302	8.6703	-2.8913	-1.5086
r81	5.0185	8.5978	-2.9375	-1.281
r91	4.3064	8.2068	-2.7824	-1.4336
r579	4.7072	8.2957	-2.5605	-1.4905
r149	4.5447	8.2274	-2.4166	-1.5875
r0	4.5459	8.1674	-2.4586	-1.4621
